"Target;""Gene"";""Note"";""Product"";""Abs.Offset"";""Ref.seq.len"";""Translated""",,,,,,
"SED_RS06270;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""membrane protein"";""1216475"";""759"";""yes""",,,,,,
"SED_RS06275;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""type VI secretion system baseplate subunit TssK"";""1217238"";""1332"";""yes""",,,,,,
"SED_RS06280;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""type VI secretion system lipoprotein TssJ"";""1218572"";""534"";""yes""",,,,,,
"SED_RS06285;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""type VI secretion system-associated FHA domain protein TagH"";""1219102"";""1287"";""yes""",,,,,,
"SED_RS06290;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""type VI secretion system baseplate subunit TssG"";""1220413"";""1089"";""yes""",,,,,,
"SED_RS06295;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""type VI secretion system baseplate subunit TssF"";""1221465"";""1854"";""yes""",,,,,,
"SED_RS06300;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""type VI secretion system baseplate subunit TssE"";""1223323"";""417"";""yes""",,,,,,
"SED_RS06305;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""type VI secretion system contractile sheath large subunit"";""1223736"";""1473"";""yes""",,,,,,
"SED_RS06310;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""1225257"";""213"";""yes""",,,,,,
"SED_RS06315;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""type VI secretion system contractile sheath small subunit"";""1225499"";""504"";""yes""",,,,,,
"SED_RS06320;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""1226059"";""180"";""yes""",,,,,,
"SED_RS06325;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""type VI secretion system tube protein Hcp"";""1226632"";""519"";""yes""",,,,,,
"SED_RS06330;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""type VI secretion system tip protein VgrG"";""1227372"";""2115"";""yes""",,,,,,
"SED_RS06335;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""RHS repeat family protein"";""1229588"";""4218"";""yes""",,,,,,
"SED_RS06340;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""1233805"";""333"";""yes""",,,,,,
"SED_RS25820;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""1234383"";""513"";""yes""",,,,,,
"SED_RS06350;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""sel1 repeat family protein"";""1234963"";""453"";""yes""",,,,,,
"SED_RS06355;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""sel1 repeat family protein"";""1235358"";""570"";""yes""",,,,,,
"SED_RS06365;"""";""frameshifted; Derived by automated computational analysis using gene prediction method: Protein Homology."";""IS3 family transposase"";""1236121"";""1149"";""yes""",,,,,,
"SED_RS06370;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""1237408"";""780"";""yes""",,,,,,
"SED_RS06375;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""1238455"";""279"";""yes""",,,,,,
"SED_RS06380;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""1238730"";""378"";""yes""",,,,,,
"SED_RS06385;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""cold-shock protein CspJ"";""1239647"";""213"";""yes""",,,,,,
"SED_RS24620;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""1239870"";""189"";""yes""",,,,,,
"SED_RS24625;"""";""allows for ions and hydrophilic solutes to cross the outer membrane; internal stop; Derived by automated computational analysis using gene prediction method: Protein Homology."";""porin"";""1240317"";""1212"";""yes""",,,,,,
"SED_RS06400;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""1242178"";""312"";""yes""",,,,,,
"SED_RS06405;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""phosphohydrolase"";""1242569"";""696"";""yes""",,,,,,
"SED_RS06410;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""DNA cytosine methyltransferase"";""1243338"";""1431"";""yes""",,,,,,
"SED_RS06415;"""";""DNA mismatch endonuclease; recognizes and repairs T:G mismatches; Derived by automated computational analysis using gene prediction method: Protein Homology."";""very short patch repair endonuclease"";""1244749"";""471"";""yes""",,,,,,
"SED_RS06420;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""drug/metabolite exporter YedA"";""1245208"";""921"";""yes""",,,,,,
"SED_RS06425;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""DUF808 domain-containing protein"";""1246304"";""912"";""yes""",,,,,,
"SED_RS06430;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""DUF2158 domain-containing protein"";""1247232"";""246"";""yes""",,,,,,
"SED_RS06435;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""cellulose synthesis regulatory protein"";""1247642"";""1713"";""yes""",,,,,,
"SED_RS06440;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""mannosyl-3-phosphoglycerate phosphatase-related protein"";""1249333"";""837"";""yes""",,,,,,
"SED_RS06445;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""DUF2525 domain-containing protein"";""1250479"";""228"";""yes""",,,,,,
"SED_RS06450;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""1250832"";""198"";""yes""",,,,,,
"SED_RS06455;""rcsA"";""with RcsB is a positive regulator of capsular polysaccharide synthesis genes; Derived by automated computational analysis using gene prediction method: Protein Homology."";""helix-turn-helix transcriptional regulator"";""1251068"";""624"";""yes""",,,,,,
"SED_RS06460;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""flagellar biosynthesis protein FliR"";""1251973"";""795"";""yes""",,,,,,
"SED_RS06465;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""flagellar biosynthetic protein FliQ"";""1252776"";""270"";""yes""",,,,,,
"SED_RS06470;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""flagellar biosynthetic protein FliP"";""1253055"";""738"";""yes""",,,,,,
"SED_RS06475;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""flagellar protein FliO"";""1253792"";""378"";""yes""",,,,,,
"SED_RS06480;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""flagellar motor switch protein FliN"";""1254169"";""414"";""yes""",,,,,,
"SED_RS06485;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""flagellar motor switch protein FliM"";""1254579"";""1005"";""yes""",,,,,,
"SED_RS06490;""fliL"";""interacts with cytoplasmic MS ring of the basal body and may act to stabilize the MotAB complexes which surround the MS ring; Derived by automated computational analysis using gene prediction method: Protein Homology."";""flagellar basal body-associated protein FliL"";""1255588"";""468"";""yes""",,,,,,
"SED_RS06495;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""flagellar hook length control protein FliK"";""1256160"";""1218"";""yes""",,,,,,
"SED_RS06500;""fliJ"";""rod/hook and filament chaperone; Derived by automated computational analysis using gene prediction method: Protein Homology."";""flagellar protein FliJ"";""1257374"";""444"";""yes""",,,,,,
"SED_RS06505;""fliI"";""involved in type III protein export during flagellum assembly; Derived by automated computational analysis using gene prediction method: Protein Homology."";""flagellum-specific ATP synthase"";""1257839"";""1371"";""yes""",,,,,,
"SED_RS06510;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""flagellar assembly protein FliH"";""1259209"";""708"";""yes""",,,,,,
"SED_RS06515;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""flagellar motor switch protein FliG"";""1259909"";""996"";""yes""",,,,,,
"SED_RS06520;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""flagellar basal body M-ring protein FliF"";""1260897"";""1674"";""yes""",,,,,,
"SED_RS06525;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""flagellar hook-basal body complex protein FliE"";""1262787"";""315"";""yes""",,,,,,
"SED_RS06530;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""1263221"";""387"";""yes""",,,,,,
"SED_RS06535;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""SirA-like protein"";""1263872"";""234"";""yes""",,,,,,
"SED_RS06540;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""YeeE/YedE family protein"";""1264102"";""1266"";""yes""",,,,,,
"SED_RS06545;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""lipoprotein"";""1265493"";""414"";""yes""",,,,,,
"SED_RS06550;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""alpha-amylase"";""1265946"";""1485"";""yes""",,,,,,
"SED_RS06555;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""flagellar protein FliT"";""1267502"";""369"";""yes""",,,,,,
"SED_RS06560;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""flagellar protein FliS"";""1267870"";""408"";""yes""",,,,,,
"SED_RS06565;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""flagellar filament capping protein FliD"";""1268292"";""1407"";""yes""",,,,,,
"SED_RS06570;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""1269697"";""240"";""yes""",,,,,,
"SED_RS06575;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""flagellin FliC"";""1269954"";""1518"";""yes""",,,,,,
"SED_RS06580;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""lysine-N-methylase"";""1271550"";""1206"";""yes""",,,,,,
"SED_RS06585;""fliA"";""sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released; this sigma factor directs late flagellar biosynthesis genes; Derived by automated computational analysis using gene prediction method: Protein Homology."";""RNA polymerase sigma factor FliA"";""1272952"";""720"";""yes""",,,,,,
"SED_RS06590;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""protein FliZ"";""1273730"";""552"";""yes""",,,,,,
"SED_RS06595;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""cystine ABC transporter substrate-binding protein"";""1274428"";""801"";""yes""",,,,,,
"SED_RS06600;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""D-cysteine desulfhydrase"";""1275382"";""987"";""yes""",,,,,,
"SED_RS06605;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""cystine ABC transporter permease"";""1276389"";""669"";""yes""",,,,,,
"SED_RS06610;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""L-cystine ABC transporter ATP-binding protein YecC"";""1277054"";""753"";""yes""",,,,,,
"SED_RS06615;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""transcriptional regulator SdiA"";""1278039"";""723"";""yes""",,,,,,
"SED_RS06620;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""DUF2594 domain-containing protein"";""1278828"";""225"";""yes""",,,,,,
"SED_RS06625;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""1279049"";""156"";""yes""",,,,,,
"SED_RS06630;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""two-component system response regulator UvrY"";""1279516"";""657"";""yes""",,,,,,
"SED_RS06635;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""excinuclease ABC subunit C"";""1280169"";""1833"";""yes""",,,,,,
"SED_RS06640;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase"";""1282058"";""549"";""yes""",,,,,,
"SED_RS06650;"""";"""";""tRNA-Cys"";""1282886"";""74"";""no""",,,,,,
"SED_RS06655;"""";"""";""tRNA-Leu"";""1282971"";""87"";""no""",,,,,,
"SED_RS06660;"""";""frameshifted; Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""1283307"";""332"";""yes""",,,,,,
"SED_RS06665;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""cell wall-associated hydrolase"";""1283852"";""1440"";""yes""",,,,,,
"SED_RS06670;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""glucose-6-phosphate dehydrogenase"";""1285504"";""327"";""yes""",,,,,,
"SED_RS06675;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""YecA family protein"";""1286069"";""666"";""yes""",,,,,,
"SED_RS06680;"""";""tyrosine specific permease; Derived by automated computational analysis using gene prediction method: Protein Homology."";""tyrosine transporter TyrP"";""1286809"";""1212"";""yes""",,,,,,
"SED_RS06685;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""DUF2492 domain-containing protein"";""1288247"";""240"";""yes""",,,,,,
"SED_RS06690;"""";""cytoplasmic iron storage protein; Derived by automated computational analysis using gene prediction method: Protein Homology."";""non-heme ferritin"";""1288532"";""498"";""yes""",,,,,,
"SED_RS06695;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""1289269"";""336"";""yes""",,,,,,
"SED_RS06700;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""1289860"";""639"";""yes""",,,,,,
"SED_RS06705;"""";""ferritin B; required for virulence in Salmonella; may be involved in repair of damaged Fe-S clusters; Derived by automated computational analysis using gene prediction method: Protein Homology."";""non-heme ferritin-like protein"";""1290677"";""504"";""yes""",,,,,,
"SED_RS06710;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""DJ-1 family protein"";""1291731"";""558"";""yes""",,,,,,
"SED_RS24635;"""";""frameshifted; Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""1292517"";""182"";""yes""",,,,,,
"SED_RS06715;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""trehalose-phosphate phosphatase"";""1292921"";""804"";""yes""",,,,,,
"SED_RS06720;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""trehalose-6-phosphate synthase"";""1293699"";""1422"";""yes""",,,,,,
"SED_RS06725;"""";""ppGpp-dependent; membrane-associated", stress protein produced under conditions of nutrient deprivation," osmotic shock and oxidative stress; Derived by automated computational analysis using gene prediction method: Protein Homology."";""universal stress protein C"";""1295138"";""429"";""yes""",,,,
"SED_RS06730;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""1295563"";""117"";""yes""",,,,,,
"SED_RS06735;"""";""with FlhC is involved in the activation of class 2 flagellar genes and is involved in the regulation of a number of other genetic systems; Derived by automated computational analysis using gene prediction method: Protein Homology."";""flagellar transcriptional regulator FlhD"";""1296353"";""351"";""yes""",,,,,,
"SED_RS06740;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""flagellar transcriptional regulator FlhC"";""1296700"";""585"";""yes""",,,,,,
"SED_RS06745;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""flagellar motor stator protein MotA"";""1297409"";""888"";""yes""",,,,,,
"SED_RS06750;""motB"";""with MotA forms the ion channels that couple flagellar rotation to proton/sodium motive force across the membrane and forms the stator elements of the rotary flagellar machine; Derived by automated computational analysis using gene prediction method: Protein Homology."";""motility protein B"";""1298293"";""930"";""yes""",,,,,,
"SED_RS06755;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""chemotaxis protein CheA"";""1299227"";""2016"";""yes""",,,,,,
"SED_RS06760;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""chemotaxis protein CheW"";""1301263"";""504"";""yes""",,,,,,
"SED_RS06765;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""methyl-accepting chemotaxis protein II"";""1302003"";""1662"";""yes""",,,,,,
"SED_RS06770;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""chemotaxis protein methyltransferase"";""1303825"";""867"";""yes""",,,,,,
"SED_RS06775;"""";""regulates chemotaxis by demethylation of methyl-accepting chemotaxis proteins; Derived by automated computational analysis using gene prediction method: Protein Homology."";""chemotaxis response regulator protein-glutamate methylesterase"";""1304688"";""1050"";""yes""",,,,,,
"SED_RS06780;"""";""chemotaxis regulator that", when phosphorylated," interacts with the flagellar motor causing the flagella to spin clockwise which causes the cell to tumble; Derived by automated computational analysis using gene prediction method: Protein Homology."";""two-component system response regulator"";""1305755"";""390"";""yes""",,,,
"SED_RS06785;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""protein phosphatase CheZ"";""1306155"";""645"";""yes""",,,,,,
"SED_RS06790;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""flagellar type III secretion system protein FlhB"";""1306993"";""1152"";""yes""",,,,,,
"SED_RS06795;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""flagellar biosynthesis protein FlhA"";""1308137"";""2079"";""yes""",,,,,,
"SED_RS06800;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""flagellar biosynthesis protein FlhE"";""1310215"";""393"";""yes""",,,,,,
"SED_RS06805;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""glycoside hydrolase family 105 protein"";""1310843"";""1140"";""yes""",,,,,,
"SED_RS06810;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""penicillin-binding protein 2"";""1312036"";""1872"";""yes""",,,,,,
"SED_RS06815;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""arginine--tRNA ligase"";""1314096"";""1734"";""yes""",,,,,,
"SED_RS06820;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""VOC family protein"";""1316066"";""570"";""yes""",,,,,,
"SED_RS06825;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""copper homeostasis protein CutC"";""1316655"";""747"";""yes""",,,,,,
"SED_RS24640;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""1317379"";""210"";""yes""",,,,,,
"SED_RS06830;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""tRNA 5-methoxyuridine(34)/uridine 5-oxyacetic acid(34) synthase CmoB"";""1317637"";""972"";""yes""",,,,,,
"SED_RS06835;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""carboxy-S-adenosyl-L-methionine synthase CmoA"";""1318605"";""744"";""yes""",,,,,,
"SED_RS06840;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""membrane protein"";""1319389"";""396"";""yes""",,,,,,
"SED_RS06845;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""DUF72 domain-containing protein"";""1319837"";""819"";""yes""",,,,,,
"SED_RS06850;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hydrolase"";""1320652"";""567"";""yes""",,,,,,
"SED_RS06855;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""aspartate--tRNA ligase"";""1321543"";""1773"";""yes""",,,,,,
"SED_RS06860;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""dihydroneopterin triphosphate diphosphatase"";""1323418"";""453"";""yes""",,,,,,
"SED_RS06865;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""YebC/PmpR family DNA-binding transcriptional regulator"";""1323900"";""741"";""yes""",,,,,,
"SED_RS06870;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""crossover junction endodeoxyribonuclease RuvC"";""1324677"";""522"";""yes""",,,,,,
"SED_RS06875;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""phosphate ABC transporter substrate-binding protein"";""1325229"";""1497"";""yes""",,,,,,
"SED_RS06880;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""1326825"";""597"";""yes""",,,,,,
"SED_RS06885;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""1327648"";""675"";""yes""",,,,,,
"SED_RS06890;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""Holliday junction branch migration protein RuvA"";""1328682"";""612"";""yes""",,,,,,
"SED_RS06895;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""Holliday junction branch migration DNA helicase RuvB"";""1329302"";""1011"";""yes""",,,,,,
"SED_RS06900;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""zinc ABC transporter permease subunit ZnuB"";""1330391"";""786"";""yes""",,,,,,
"SED_RS06905;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""Mn2+/Zn2+ABC transporter ATP-binding protein"";""1331173"";""756"";""yes""",,,,,,
"SED_RS06910;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""zinc ABC transporter substrate-binding protein ZnuA"";""1331992"";""960"";""yes""",,,,,,
"SED_RS06915;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""murein DD-endopeptidase MepM"";""1332967"";""1320"";""yes""",,,,,,
"SED_RS24645;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""1334177"";""228"";""yes""",,,,,,
"SED_RS06920;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""lauroyl-Kdo(2)-lipid IV(A) myristoyltransferase"";""1334403"";""972"";""yes""",,,,,,
"SED_RS06925;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""pyruvate kinase II"";""1335447"";""1443"";""yes""",,,,,,
"SED_RS06930;"""";""Represses the expression of the zwf", eda," glp and gap; Derived by automated computational analysis using gene prediction method: Protein Homology."";""transcriptional regulator HexR"";""1337013"";""870"";""yes""",,,,
"SED_RS24650;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""1338066"";""186"";""yes""",,,,,,
"SED_RS06935;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""glucose-6-phosphate dehydrogenase"";""1338224"";""1476"";""yes""",,,,,,
"SED_RS06940;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""phosphogluconate dehydratase"";""1339934"";""1812"";""yes""",,,,,,
"SED_RS06945;"""";""catalyzes the formation of pyruvate and glyoxylate from 4-hydroxy-2-oxoglutarate; or pyruvate and D-glyceraldehyde 3-phosphate from 2-dehydro-3-deoxy-D-glyconate 6-phosphate; Derived by automated computational analysis using gene prediction method: Protein Homology."";""ketohydroxyglutarate aldolase"";""1341783"";""642"";""yes""",,,,,,
"SED_RS06950;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""phosphoribosylglycinamide formyltransferase 2"";""1342524"";""1179"";""yes""",,,,,,
"SED_RS06955;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""DNA damage-inducible protein"";""1343833"";""291"";""yes""",,,,,,
"SED_RS06960;"""";""secreted protein; unknown function; Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""1344191"";""354"";""yes""",,,,,,
"SED_RS06965;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""DUF533 domain-containing protein"";""1344638"";""660"";""yes""",,,,,,
"SED_RS06970;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""oligopeptidase B"";""1345510"";""2052"";""yes""",,,,,,
"SED_RS06975;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""exodeoxyribonuclease X"";""1347598"";""699"";""yes""",,,,,,
"SED_RS06980;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""carbon-nitrogen hydrolase family protein"";""1348320"";""657"";""yes""",,,,,,
"SED_RS06985;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""DNA polymerase III subunit theta"";""1349084"";""231"";""yes""",,,,,,
"SED_RS06990;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""CopC domain-containing protein YobA"";""1349452"";""375"";""yes""",,,,,,
"SED_RS06995;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""membrane protein"";""1349827"";""876"";""yes""",,,,,,
"SED_RS07000;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""DUF2511 domain-containing protein"";""1350719"";""354"";""yes""",,,,,,
"SED_RS07005;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""1351130"";""120"";""yes""",,,,,,
"SED_RS07010;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""integrase"";""1351455"";""1080"";""yes""",,,,,,
"SED_RS07015;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""excisionase"";""1352509"";""279"";""yes""",,,,,,
"SED_RS25825;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""1352848"";""237"";""yes""",,,,,,
"SED_RS07025;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""DUF1187 domain-containing protein"";""1353375"";""186"";""yes""",,,,,,
"SED_RS07030;""recT"";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""recombination protein RecT"";""1353607"";""831"";""yes""",,,,,,
"SED_RS07035;"""";""The RecE (also known as exonuclease VIII) pathway is an alternative pathway for the initiation of homologous recombination in Escherichia coli. The RecE pathway is activated in recB", recC sbcA (suppressors of recB and recC) mutants. Activation of the RecE pathway results in the production of at least two phage proteins relevant for recombinational repair. RecE is a duplex DNA-specific exonuclease which produces 3' overhangs in duplex DNA by preferentially degrading the 5'-ending strands. Recombinational repair of E.coli chromosomal DNA involves as well other proteins: RecA, RecF, RecJ, RecO, RecR," and RuvC; Derived by automated computational analysis using gene prediction method: Protein Homology."";""exodeoxyribonuclease VIII"";""1354430"";""2691"";""yes"""
"SED_RS07040;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""1357261"";""336"";""yes""",,,,,,
"SED_RS07045;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""cell division inhibitor protein"";""1357672"";""207"";""yes""",,,,,,
"SED_RS07050;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""1357882"";""276"";""yes""",,,,,,
"SED_RS24655;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""1358419"";""315"";""yes""",,,,,,
"SED_RS07060;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""transcriptional regulator"";""1359175"";""399"";""yes""",,,,,,
"SED_RS07065;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""XRE family transcriptional regulator"";""1359672"";""255"";""yes""",,,,,,
"SED_RS07070;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""1359913"";""495"";""yes""",,,,,,
"SED_RS07075;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""DUF1376 domain-containing protein"";""1360454"";""999"";""yes""",,,,,,
"SED_RS07080;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""1361445"";""462"";""yes""",,,,,,
"SED_RS07085;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""DUF977 domain-containing protein"";""1361919"";""396"";""yes""",,,,,,
"SED_RS07095;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""GGDEF domain-containing protein"";""1362601"";""1131"";""yes""",,,,,,
"SED_RS07100;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""alkyl sulfatase"";""1364128"";""1980"";""yes""",,,,,,
"SED_RS07105;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""1366125"";""192"";""yes""",,,,,,
"SED_RS07110;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""1366739"";""306"";""yes""",,,,,,
"SED_RS07115;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""DUF1367 domain-containing protein"";""1367108"";""600"";""yes""",,,,,,
